Response,Key,BIL_EXPOSURE_BEFORE_5
281963,281963,NO
628749,628749,NO
283475,283475,NO
648397,648379,NO
3278956,3278956,NO
3619827,3619827,NO
3481276,3481276,NO
7589136,7589136,NO
5829471,5829471,NO
43982657,43582795,NO
48713269,48713269,NO
12856937,12835967,NO
73248659,73248695,NO
97248563,9784563,NO
13,13,YES
61,61,YES
27,27,YES
96,96,YES
38,38,YES
892,892,YES
528,528,YES
681,681,YES
917,917,YES
365,365,YES
6259,6259,YES
5238,5238,YES
8256,8256,YES
8372,8372,YES
1572,1572,YES
71563,71563,YES
68739,68739,YES
35846,35847,YES
28134,28134,YES
82375,82375,YES
128675,128675,YES
481735,481735,YES
172643,172643,YES
391674,391674,YES
724695,724695,YES
4516897,4516897,YES
3426795,3426795,YES
9812475,9812475,YES
5489236,5489236,YES
9465281,9465281,YES
63581742,6458172,YES
52867913,5286792,YES
49173586,4915873,YES
46912358,46912358,YES
91756482,46917358,YES
18,18,YES
96,96,YES
68,68,YES
24,24,YES
73,73,YES
926,926,YES
942,942,YES
416,416,YES
689,689,YES
583,583,YES
7658,7658,YES
4638,4638,YES
1872,1872,YES
4361,4361,YES
6397,6397,YES
52398,52398,YES
69853,69853,YES
92437,92437,YES
96871,96871,YES
52647,52647,YES
486379,486379,YES
417283,417283,YES
892637,892637,YES
742369,723946,YES
491568,491568,YES
8794536,8794536,YES
3519726,3517926,YES
2486517,2486517,YES
9482136,9482146,YES
7483156,7483156,YES
15346278,15327648,YES
46795281,46785126,YES
46523891,46523891,YES
31974285,39874285,YES
69235741,69235741,YES
94,94,YES
13,13,YES
89,89,YES
71,71,YES
82,82,YES
362,362,YES
563,563,YES
256,256,YES
758,758,YES
674,674,YES
6379,6379,YES
7581,7581,YES
1486,1486,YES
2954,2954,YES
7298,7298,YES
81752,81752,YES
12845,12845,YES
74581,74581,YES
19487,19487,YES
82653,28653,YES
682431,682431,YES
258431,258431,YES
146537,146537,YES
716928,716928,YES
327918,327918,YES
9864157,9865187,YES
6972813,6298712,YES
1256789,1256789,YES
6145983,1654983,YES
6537481,6547382,YES
76,76,YES
49,49,YES
97,97,YES
38,38,YES
68,68,YES
719,719,YES
594,594,YES
875,875,YES
297,297,YES
742,742,YES
3786,3786,YES
7139,7139,YES
8149,8149,YES
1576,1576,YES
5647,5647,YES
84623,84623,YES
83947,83947,YES
26375,26375,YES
96528,96528,YES
37429,37429,YES
291375,291375,YES
194362,194362,YES
721385,721385,YES
539867,539867,YES
518742,518742,YES
3682954,3682956,YES
3514982,3514984,YES
4392756,0,YES
4687321,4687000,YES
9435872,9435872,YES
67,67,YES
23,23,YES
27,27,YES
97,97,YES
93,93,YES
218,218,YES
824,824,YES
569,569,YES
416,416,YES
376,376,YES
1269,1269,YES
5968,5968,YES
9471,9471,YES
7523,7523,YES
1472,1472,YES
24569,24569,YES
68759,68759,YES
28419,28419,YES
38426,38426,YES
15869,15869,YES
148372,148372,YES
729136,729136,YES
819354,819354,YES
231745,231745,YES
684329,684329,YES
2167598,2167598,YES
5649283,5649283,YES
1873652,1873652,YES
4937681,4973680,YES
8241693,8261493,YES
85671943,85671943,YES
56932471,569523741,YES
45376812,45638120,YES
24379581,23678591,YES
13296874,13296874,YES
16,16,YES
91,91,YES
49,49,YES
48,48,YES
18,18,YES
745,745,YES
216,216,YES
368,368,YES
658,658,YES
926,926,YES
8764,8764,YES
2475,2475,YES
5243,5243,YES
8217,8217,YES
2359,2359,YES
61295,61295,YES
41935,41935,YES
73961,73961,YES
53468,53468,YES
12987,12987,YES
123945,123945,YES
457281,457281,YES
957346,573428,YES
387651,387651,YES
639182,639182,YES
4168379,4168379,YES
1892465,1892465,YES
2584397,2584397,YES
9872531,9872531,YES
1923486,1923486,YES
49351726,49351726,YES
24756193,24756193,YES
67312485,67312485,YES
37269584,37269584,YES
17839265,17839265,YES
962754138,96275138,YES
375864219,375864219,YES
753246198,753146298,YES
732648591,732645891,YES
175398642,175368492,YES
63,63,YES
38,38,YES
51,51,YES
86,86,YES
32,32,YES
972,972,YES
162,162,YES
196,196,YES
519,519,YES
712,712,YES
9134,9134,YES
9758,9758,YES
1839,1839,YES
1265,1265,YES
1724,1724,YES
74865,74865,YES
82157,82157,YES
53417,53417,YES
89261,89261,YES
53976,53976,YES
396178,396178,YES
847935,847935,YES
354892,354892,YES
983275,983275,YES
634915,694315,YES
4852136,4853126,YES
1495386,1495386,YES
2546138,2546138,YES
4573618,450008,YES
1347958,1347958,YES
34917265,34917200,YES
84675291,84576291,YES
18746932,18746932,YES
86935174,86927104,YES
75341628,75641328,YES
31,31,NO
85,85,NO
13,13,NO
86,86,NO
25,25,NO
762,762,NO
293,293,NO
685,685,NO
217,217,NO
184,184,NO
3189,3189,NO
2483,2483,NO
5194,5194,NO
5349,5349,NO
2978,2978,NO
29813,29813,NO
71348,71348,NO
19823,19823,NO
81972,81972,NO
54678,54678,NO
165438,165438,NO
856932,856932,NO
396581,396581,NO
419863,419863,NO
685214,685214,NO
9625438,9625438,NO
2453687,2453687,NO
4692387,4692387,NO
3481529,3481529,NO
3627984,3627984,NO
35724186,35724186,NO
61528479,61528479,NO
18427369,18427369,NO
39257184,39257184,NO
13476892,43678092,NO
853267149,853267149,NO
491857326,491857326,NO
287531469,287531469,NO
645398217,645398217,NO
167398452,167398452,NO
84,84,NO
76,76,NO
54,54,NO
93,93,NO
75,75,NO
189,189,NO
135,135,NO
713,713,NO
859,859,NO
537,537,NO
5178,5178,NO
7643,7643,NO
6285,6285,NO
2351,2351,NO
8354,8354,NO
72439,72439,NO
79361,79361,NO
76359,76359,NO
32584,32584,NO
35982,35982,NO
357486,357486,NO
613259,613295,NO
678921,678912,NO
982164,982164,NO
389512,389512,NO
9124673,9124673,NO
8126534,8126534,NO
4821937,4823591,NO
2736458,2736498,NO
3241756,3241756,NO
74851293,7458413,NO
18327654,38127654,NO
94182635,94183516,NO
38716524,38742560,NO
72641389,38724510,NO
91,91,YES
24,24,YES
74,74,YES
75,75,YES
45,45,YES
653,653,YES
879,879,YES
238,238,YES
386,386,YES
968,968,YES
9438,9438,YES
6387,6387,YES
4289,4289,YES
6927,6927,YES
5361,5361,YES
78469,78469,YES
27951,27951,YES
69485,69485,YES
97658,97658,YES
36724,36724,YES
764893,764893,YES
218593,218593,YES
396125,396125,YES
192648,192648,YES
739548,739548,YES
3568429,3968420,YES
3214895,432895,YES
2349186,2349186,YES
5692714,269374,YES
8452691,8452691,YES
52,52,NO
51,51,NO
85,85,NO
91,91,NO
48,48,NO
241,241,NO
736,736,NO
826,826,NO
763,763,NO
896,896,NO
6537,6537,NO
3629,3629,NO
3827,3827,NO
6938,6938,NO
5149,5149,NO
39418,39418,NO
64823,64823,NO
53794,53794,NO
61874,61874,NO
81432,81432,NO
718263,718263,NO
284796,284796,NO
917523,917523,NO
453861,453861,NO
394216,394216,NO
9813247,9813247,NO
5346829,5343689,NO
1846379,1843709,NO
9231476,932146,NO
4615928,4615928,NO
75,75,NO
37,37,NO
94,94,NO
84,84,NO
56,56,NO
657,657,NO
829,829,NO
841,841,NO
687,687,NO
641,641,NO
7853,7853,NO
3485,3485,NO
5381,5381,NO
3846,3846,NO
8417,8417,NO
32791,32791,NO
67541,67541,NO
13785,13785,NO
52813,52813,NO
46178,46178,NO
123869,123869,NO
923846,923846,NO
382457,382457,NO
157963,157963,NO
743215,743215,NO
9148765,9148765,NO
2751896,2751896,NO
9543827,9543287,NO
2683954,2683954,NO
6419852,6419852,NO
31746582,31746582,NO
82569371,82569371,NO
71852649,75618249,NO
48739612,43768192,NO
51643829,51643890,NO
25,25,YES
92,92,YES
89,89,YES
83,83,YES
27,27,YES
291,291,YES
862,862,YES
619,619,YES
827,827,YES
862,862,YES
1256,1256,YES
6913,6913,YES
8157,8157,YES
4216,4216,YES
7159,7159,YES
63985,63895,YES
69713,69713,YES
51792,51792,YES
94258,94258,YES
91472,91472,YES
152364,152364,YES
283546,283546,YES
852749,852749,YES
853264,853346,YES
412837,412387,YES
6157394,6157394,YES
4758296,4758215,YES
6581429,6580417,YES
4231678,4321867,YES
1467928,4617892,YES
18,18,YES
58,58,YES
25,25,YES
57,57,YES
18,18,YES
547,547,YES
346,346,YES
649,649,YES
862,862,YES
672,672,YES
6295,6295,YES
2847,2847,YES
4216,4216,YES
5917,5917,YES
5478,5478,YES
67548,67548,YES
38156,38156,YES
49738,49738,YES
78296,78296,YES
54139,54139,YES
983274,9872324,YES
157683,157683,YES
478625,478625,YES
752941,752941,YES
563127,563127,YES
9185247,9185427,YES
2698714,2698714,YES
7532169,7532169,YES
1975438,195738,YES
7843925,7843920,YES
24,24,YES
16,16,YES
96,96,YES
32,32,YES
57,57,YES
594,594,YES
694,694,YES
268,268,YES
816,816,YES
789,789,YES
9724,9724,YES
6587,6587,YES
4267,4267,YES
6319,6319,YES
4587,4587,YES
19653,19653,YES
45827,45827,YES
67981,67981,YES
29471,29471,YES
59748,59748,YES
271963,271963,YES
415768,415768,YES
832417,832417,YES
289146,289146,YES
273596,273596,YES
5637489,5673489,YES
3482167,3482167,YES
7938562,7938512,YES
8619732,8619782,YES
7361485,7361485,YES
64,64,YES
38,38,YES
87,87,YES
35,35,YES
58,58,YES
532,532,YES
297,297,YES
248,248,YES
187,187,YES
726,726,YES
9486,9486,YES
6428,6428,YES
1876,1876,YES
3864,3864,YES
3647,3647,YES
48976,48976,YES
85143,85413,YES
98734,98734,YES
52976,52976,YES
82971,82971,YES
723185,72318,YES
845732,845672,YES
618249,618249,YES
837256,837276,YES
834162,834162,YES
71,71,YES
84,84,YES
85,85,YES
46,46,YES
12,12,YES
236,236,YES
198,198,YES
469,469,YES
523,523,YES
628,628,YES
2347,2347,YES
3692,3692,YES
7315,7315,YES
6378,6378,YES
6137,6137,YES
93124,93124,YES
57431,57431,YES
47289,47289,YES
58694,58694,YES
97645,97645,YES
547396,547396,YES
238197,238197,YES
156432,156432,YES
345196,345196,YES
214835,218403,YES
4618239,4618239,YES
1495382,1495382,YES
1243597,1342597,YES
1352496,1352496,YES
3278549,3258749,YES
74163259,74163259,YES
54369712,54369712,YES
24957836,24957836,YES
15872394,15872397,YES
96235847,96235748,YES
628395741,628395417,YES
831265947,831265947,YES
